timestamp,x,y,z
0,-15.07,-0.88,5.81
10,-15.71,-1.41,7.74
20,-16.17,-1.27,10.42
30,-15.6,-1.13,13.13
40,-14.31,-0.66,14.87
50,-12.32,-0.22,16.34
60,-9.78,0.35,18.82
70,-7.48,1.07,21.54
80,-5.43,1.8,23.81
90,-3.62,2.25,24.95
100,-2.4,2.03,24.56
110,-1.76,1.74,22.87
120,-1.54,1.52,20.54
130,-0.73,0.87,18.56
140,0.93,0.9,17.52
150,2.12,1.88,16.62
160,4.48,1.37,16.09
170,6.51,0.94,15.77
180,8.51,0.74,15.45
190,10.25,0.6,15.14
200,11.65,0.39,14.61
210,12.29,0.07,13.72
220,12.62,-0.28,11.93
230,12.65,-0.71,9.37
240,12.31,-1.15,6.56
250,11.78,-1.68,3.68
260,11.22,-2.12,1.13
270,10.79,-2.22,-0.6
280,9.77,-2.15,-1.67
290,8.22,-1.71,-2.21
300,6.53,-0.59,-2.18
310,4.32,0.51,-2.1
320,1.8,1.22,-2.27
330,-0.87,1.54,-2.55
340,-3.26,1.77,-2.61
350,-5.3,2.04,-2.4
360,-6.96,2.26,-1.9
370,-8.52,2.2,-0.91
380,-9.49,2.21,0.42
390,-10.96,2.19,2.31
400,-10.69,1.64,2.84
410,-10.2,1.15,3.36
420,-9.78,0.29,3.24
430,-9.41,-0.14,3.23
440,-9.93,0.0,3.68
450,-11.0,1.01,5.2
460,-12.83,2.07,7.81
470,-14.67,2.89,11.27
480,-15.99,3.64,15.07
490,-16.42,4.19,18.35
500,-15.89,4.12,20.23
510,-14.42,4.34,20.43
520,-12.03,4.73,19.61
530,-8.94,5.35,18.69
540,-5.82,5.6,18.26
550,-3.07,5.5,18.64
560,-1.09,5.35,19.57
570,0.3,4.91,20.56
580,1.56,4.49,21.39
590,2.71,4.18,21.74
600,3.88,4.09,21.68
610,5.11,3.95,21.18
620,6.73,3.74,20.53
630,8.32,3.23,19.71
640,9.99,2.85,18.97
650,11.33,2.18,17.9
660,12.32,1.31,16.42
670,12.7,0.6,14.46
680,12.24,-0.02,12.18
690,11.29,-0.4,10.05
700,10.1,-0.52,8.29
710,9.09,-0.45,6.91
720,8.24,-0.39,5.94
730,7.61,-0.31,5.38
740,6.94,0.01,5.02
750,6.17,0.46,4.52
760,5.43,0.73,3.57
770,4.7,0.64,2.23
780,4.13,1.03,0.91
790,3.32,1.41,-0.36
800,2.14,2.05,-1.66
810,0.33,2.06,-3.32
820,-1.82,1.95,-5.53
830,-3.87,1.97,-7.27
840,-5.99,2.5,-6.73
850,-8.09,3.09,-4.87
860,-9.47,3.75,-2.2
870,-10.17,4.24,1.73
880,-10.53,4.03,4.56
890,-11.31,4.12,6.19
900,-12.85,3.74,6.3
910,-14.79,3.29,5.66
920,-17.04,3.02,5.32
930,-18.82,3.14,5.8
940,-19.14,3.3,6.88
950,-18.19,3.6,8.01
960,-16.86,3.84,9.35
970,-15.27,4.09,11.6
980,-13.97,4.69,15.0
990,-13.0,5.77,18.98
1000,-11.67,6.63,22.17
