timestamp,x,y,z
0,0.13,-5.08,-1.16
10,0.27,-4.98,-1.45
20,0.3,-4.82,-1.7
30,0.19,-4.59,-1.85
40,-0.17,-4.19,-1.96
50,-0.71,-3.69,-1.9
60,-1.46,-3.18,-1.63
70,-2.33,-2.64,-1.21
80,-3.23,-2.17,-0.74
90,-4.09,-1.83,-0.25
100,-4.89,-1.57,0.22
110,-5.54,-1.33,0.69
120,-6.06,-1.01,1.09
130,-6.46,-0.6,1.46
140,-6.75,0.05,1.7
150,-6.91,0.8,1.88
160,-7.08,1.6,1.95
170,-7.31,2.28,1.97
180,-7.45,2.53,2.0
190,-7.46,2.76,1.97
200,-7.05,2.98,1.93
210,-6.25,3.31,1.84
220,-5.17,3.82,1.78
230,-4.08,4.39,1.93
240,-3.16,4.94,2.21
250,-2.51,5.48,2.8
260,-2.12,6.12,3.59
270,-1.91,6.93,4.6
280,-1.66,7.65,5.8
290,-1.15,8.51,7.16
300,-0.51,9.52,8.71
310,0.2,10.63,10.29
320,1.27,11.75,12.29
330,2.18,12.35,14.34
340,2.88,12.42,16.3
350,3.5,11.89,18.04
360,3.96,11.0,19.3
370,4.42,10.09,19.96
380,4.81,9.3,19.88
390,5.08,8.54,19.04
400,5.26,7.84,17.72
410,5.32,7.15,16.17
420,5.36,6.59,14.67
430,5.27,6.08,13.36
440,5.23,5.67,12.42
450,5.17,5.34,11.81
460,5.15,5.17,11.43
470,5.04,5.17,11.32
480,4.81,5.23,11.47
490,5.84,5.33,15.9
500,0.42,6.55,16.04
510,3.84,5.87,15.3
520,1.51,5.98,13.69
530,2.0,5.52,12.29
540,1.45,4.93,10.3
550,1.41,4.38,8.59
560,1.68,4.05,8.05
570,1.83,3.76,7.84
580,1.54,3.61,8.45
590,1.51,3.45,8.55
600,1.6,3.31,8.76
610,1.13,3.28,9.13
620,1.51,3.21,8.82
630,1.75,3.16,8.63
640,1.72,3.12,8.79
650,1.64,3.06,8.91
660,1.76,3.01,8.69
670,1.83,3.01,8.41
680,1.66,3.07,8.25
690,1.47,3.2,8.07
700,1.38,3.41,7.81
710,1.29,3.68,7.7
720,1.1,3.96,7.86
730,0.95,4.31,8.1
740,0.91,4.65,8.37
750,0.81,4.94,8.83
760,0.75,5.25,9.38
770,0.83,5.54,9.95
780,0.93,5.85,10.41
790,0.92,6.18,10.87
800,0.8,6.52,11.24
810,0.48,6.81,11.4
820,0.07,7.0,11.5
830,-0.37,7.12,11.56
840,-0.83,7.1,11.64
850,-1.15,7.01,11.75
860,-1.25,6.96,11.83
870,-1.19,6.96,12.0
880,-0.95,7.04,12.2
890,-0.71,7.28,12.34
900,-0.53,7.51,12.49
910,-0.55,7.99,12.63
920,-0.93,8.88,12.68
930,-1.68,9.84,12.73
940,-2.71,10.83,12.84
950,-4.01,11.85,12.96
960,-5.32,12.74,13.21
970,-6.48,13.39,13.57
980,-7.24,13.63,13.93
990,-7.63,13.75,14.31
1000,-7.61,13.89,14.63
