timestamp,x,y,z
0,24.38,7.47,23.85
10,22.36,7.9,21.17
20,18.06,9.14,17.85
30,13.46,10.7,15.36
40,9.74,11.44,13.43
50,6.9,11.46,12.15
60,4.58,11.1,11.33
70,2.57,10.72,10.64
80,0.77,10.52,9.92
90,-0.49,10.02,9.23
100,-0.95,9.77,8.22
110,-1.89,9.74,6.56
120,-3.21,9.87,4.65
130,-5.45,10.41,2.38
140,-8.87,10.96,-0.2
150,-13.62,11.83,-2.96
160,-20.2,12.81,-6.93
170,-28.44,12.11,-11.23
180,-34.39,9.28,-14.38
190,-34.22,6.71,-14.74
200,-29.35,6.1,-12.17
210,-22.49,6.81,-8.13
220,-18.08,7.3,-5.1
230,-16.02,7.49,-3.47
240,-14.82,7.56,-2.67
250,-14.17,7.8,-2.44
260,-13.63,8.5,-2.19
270,-12.28,9.77,-1.48
280,-9.96,11.04,-0.46
290,-7.08,12.2,0.94
300,-3.85,13.25,2.86
310,-0.63,13.9,5.53
320,1.69,14.26,8.5
330,2.97,14.82,11.47
340,4.67,14.65,15.1
350,6.29,14.41,18.39
360,7.92,14.02,21.2
370,9.88,13.63,23.14
380,12.06,11.96,24.12
390,15.58,10.93,25.31
400,19.35,9.5,26.27
410,24.18,7.99,27.56
420,27.89,6.64,27.75
430,28.34,6.48,26.21
440,25.54,7.5,23.18
450,20.86,9.21,19.92
460,16.06,10.77,17.19
470,11.57,11.86,14.87
480,7.69,12.04,12.99
490,4.47,11.51,11.71
500,1.52,10.54,11.19
510,-1.26,9.62,11.6
520,-3.72,9.1,12.25
530,-6.27,8.68,12.42
540,-9.06,8.53,11.96
550,-12.63,8.46,10.9
560,-16.94,8.39,9.2
570,-19.85,7.68,6.25
580,-21.1,5.98,2.54
590,-21.37,4.13,-0.79
600,-20.18,2.61,-2.67
610,-17.82,1.95,-2.4
620,-15.09,1.96,-0.51
630,-12.99,2.17,1.44
640,-11.6,2.43,2.59
650,-11.37,2.54,2.46
660,-12.38,2.71,1.06
670,-12.96,2.9,-0.51
680,-12.08,3.23,-1.58
690,-10.37,3.44,-2.26
700,-8.57,3.5,-2.68
710,-7.34,3.32,-3.27
720,-6.91,3.02,-4.01
730,-7.06,2.91,-4.63
740,-7.75,3.0,-5.0
750,-8.09,3.58,-4.98
760,-7.68,4.53,-4.53
770,-7.22,5.66,-4.04
780,-6.41,7.01,-3.6
790,-4.97,8.39,-3.04
800,-3.36,10.2,-1.53
810,-1.9,12.71,1.57
820,-0.47,14.91,6.12
830,0.87,16.43,11.99
840,1.89,17.67,19.06
850,5.76,18.48,28.64
860,12.86,17.42,36.66
870,22.68,15.71,40.2
880,30.62,12.99,35.87
890,34.97,8.49,25.91
900,40.23,6.96,11.25
910,28.95,7.45,8.85
920,22.12,8.8,5.99
930,15.85,9.34,7.67
940,12.94,9.36,9.33
950,12.04,9.4,10.34
960,11.72,9.92,11.16
970,10.5,10.89,12.08
980,8.55,12.12,12.95
990,6.08,12.43,13.37
1000,3.72,13.29,13.23
